,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Virender Sehwag,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
AB de Villiers,BATTERS,"2008,2009,2010",True,Right hand Bat,Right arm Medium,DC
Shikhar Dhawan,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,DC
Gautam Gambhir,BATTERS,"2008,2009,2010",False,Left hand Bat,Legbreak,DC
Dinesh Karthik,BATTERS,"2008,2009,2010",True,Right hand Bat,Right arm Offbreak,DC
Tejashwi Yadav,BATTERS,"2008,2009",False,Right hand Bat,Right arm Bowler,DC
Rajat Bhatia,ALLROUNDERS,"2008,2010",False,Right hand Bat,Right arm Medium fast,DC
Tillakaratne Dilshan,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
Farveez Maharoof,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Fast medium,DC
Yo Mahesh,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium fast,DC
Mithun Manhas,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
Yogesh Nagar,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Offbreak,DC
Shoaib Malik,ALLROUNDERS,2008,False,Right hand Bat,Right arm Offbreak,DC
Mayank Tehlan,ALLROUNDERS,2008,False,Right hand Bat,Right arm Offbreak,DC
Brett Geeves,ALLROUNDERS,2008,False,,,DC
Bowler,ALLROUNDERS,2008,False,Right hand Bat,Right arm Fast medium,DC
Glenn McGrath,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,DC
Amit Mishra,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Legbreak,DC
Mohammad Asif,ALLROUNDERS,2008,False,Left hand Bat,Right arm Fast medium,DC
Pradeep Sangwan,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Left arm Medium,DC
Owais Shah,BATTERS,2009,False,Right hand Bat,Right arm Offbreak,DC
David Warner,BATTERS,"2009,2010",False,Left hand Bat,Legbreak,DC
"Rajat Bhatia, profile",BATTERS,2009,False,Right hand Bat,Right arm Medium fast,DC
Paul Collingwood,BATTERS,"2009,2010",False,Right hand Bat,Right arm Medium,DC
Andrew McDonald,BATTERS,"2009,2010",False,Right hand Bat,Right arm Fast medium,DC
Daniel Vettori,BATTERS,2009,False,Left hand Bat,Slow Left arm Orthodox,DC
Dirk Nannes,BOWLERS,"2009,2010",False,Right hand Bat,Left arm Fast,DC
Ashish Nehra,BOWLERS,"2009,2010",False,Right hand Bat,Left arm Medium fast,DC
Aavishkar Salvi,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,DC
Umesh Yadav,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Fast,DC
Moises Henriques,ALLROUNDERS,2010,False,Right hand Bat,Right arm Fast medium,DC
Kedar Jadhav,ALLROUNDERS,2010,False,Right hand Bat,Right arm Offbreak,DC
Sarabjit Ladda,BOWLERS,2010,False,Right hand Bat,Legbreak,DC
Wayne Parnell,BOWLERS,2010,False,Left hand Bat,Left arm Medium fast,DC
Joginder Singh,BOWLERS,2010,False,Right hand Bat,Right arm Medium,DC
Shashi Ranjan,BOWLERS,2010,False,Right hand Bat,Right arm Offbreak,DC
Sarandeep Singh,BOWLERS,2010,False,Right hand Bat,Right arm Offbreak,DC
