,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Chirag Suri,BATTERS,2017,False,Right hand Bat,"Right arm Offbreak, Legbreak Googly",GL
Aaron Finch,BATTERS,"2017,2016",False,Right hand Bat,Slow Left arm Orthodox,GL
Ishan Kishan,BATTERS,"2017,2016",True,Left hand Bat,Legbreak,GL
Dinesh Karthik,BATTERS,"2017,2016",True,Right hand Bat,Right arm Offbreak,GL
Brendon McCullum,BATTERS,"2017,2016",True,Right hand Bat,"Right arm Medium, Right arm Offbreak",GL
Akshdeep Nath,BATTERS,"2017,2016",False,Right hand Bat,Right arm Medium fast,GL
Pratham Singh,BATTERS,2017,False,Left hand Bat,Right arm Offbreak,GL
Suresh Raina,BATTERS,"2017,2016",False,Left hand Bat,Right arm Offbreak,GL
Jason Roy,BATTERS,2017,False,Right hand Bat,,GL
Jaydev Shah,BATTERS,"2017,2016",False,Left hand Bat,Right arm Offbreak,GL
Ankit Soni,ALLROUNDERS,2017,False,Right hand Bat,Legbreak,GL
James Faulkner,ALLROUNDERS,"2017,2016",False,Right hand Bat,Left arm Fast medium,GL
Ravindra Jadeja,ALLROUNDERS,"2017,2016",False,Left hand Bat,Slow Left arm Orthodox,GL
Irfan Pathan,ALLROUNDERS,2017,False,Left hand Bat,Left arm Medium fast,GL
Dwayne Smith,ALLROUNDERS,"2017,2016",False,Right hand Bat,Right arm Medium,GL
Basil Thampi,BOWLERS,2017,False,Right hand Bat,Right arm Fast medium,GL
Manpreet Gony,BOWLERS,2017,False,Right hand Bat,Right arm Medium,GL
Shadab Jakati,BOWLERS,"2017,2016",False,Left hand Bat,Slow Left arm Orthodox,GL
Shivil Kaushik,BOWLERS,"2017,2016",False,Right hand Bat,Left arm Wrist spin,GL
Dhawal Kulkarni,BOWLERS,"2017,2016",False,Right hand Bat,Right arm Medium,GL
Praveen Kumar,BOWLERS,"2017,2016",False,Right hand Bat,Right arm Medium,GL
Munaf Patel,BOWLERS,2017,False,Right hand Bat,Right arm Medium fast,GL
Pradeep Sangwan,BOWLERS,"2017,2016",False,Right hand Bat,Left arm Medium,GL
Nathu Singh,BOWLERS,2017,False,Right hand Bat,Right arm Medium,GL
Tejas Baroka,BOWLERS,2017,False,Right hand Bat,Legbreak Googly,GL
Andrew Tye,BOWLERS,"2017,2016",False,Right hand Bat,Right arm Medium fa,GL
Shubham Agarwal,BOWLERS,2017,False,Right hand Bat,Legbreak Googly,GL
Shelley Shaurya,BOWLERS,2017,False,Right hand Bat,Right arm Medium,GL
Paras Dogra,BATTERS,2016,False,Right hand Bat,Legbreak,GL
Eklavya Dwivedi,BATTERS,2016,False,,,GL
Wicketkeeper,BATTERS,2016,False,Right hand Bat,,GL
Umang Sharma,BATTERS,2016,False,Right hand Bat,Right arm Offbreak,GL
Dwayne Bravo,ALLROUNDERS,2016,False,Right hand Bat,Right arm Medium,GL
Amit Mishra,BOWLERS,2016,False,Right hand Bat,Right arm Medium,GL
Sarabjit Ladda,BOWLERS,2016,False,Right hand Bat,Legbreak,GL
Dale Steyn,BOWLERS,2016,False,Right hand Bat,Right arm Fast,GL
Pravin Tambe,BOWLERS,2016,False,Right hand Bat,Legbreak,GL
