,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Mahela Jayawardene,BATTERS,2011,False,Right hand Bat,Right arm Medium,KTK
Deepak Chougule,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Brad Hodge,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Michael Klinger,BATTERS,2011,False,Right hand Bat,,KTK
VVS Laxman,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Chandan Madan,BATTERS,2011,False,,,KTK
Wicketkeeper,BATTERS,"2011,2011",False,Left hand Bat,Legbreak Googly,KTK
Sushant Marathe,BATTERS,2011,False,,,KTK
Brendon McCullum,BATTERS,2011,True,Right hand Bat,"Right arm Medium, Right arm Offbreak",KTK
Parthiv Patel,BATTERS,2011,True,Left hand Bat,Right arm Offbreak,KTK
Owais Shah,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Steven Smith,BATTERS,2011,False,Right hand Bat,Legbreak Googly,KTK
Tanmay Srivastava,BATTERS,2011,False,Left hand Bat,Right arm Medium,KTK
Yashpal Singh,BATTERS,2011,False,Right hand Bat,Right arm Medium,KTK
Gnaneswara Rao,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium,KTK
Raiphi Gomez,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium,KTK
John Hastings,ALLROUNDERS,2011,False,Right hand Bat,Right arm Fast medium,KTK
Ravindra Jadeja,ALLROUNDERS,2011,False,Left hand Bat,Slow Left arm Orthodox,KTK
Kedar Jadhav,ALLROUNDERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Steve O'Keefe,ALLROUNDERS,2011,False,Right hand Bat,Slow Left arm Orthodox,KTK
Thisara Perera,ALLROUNDERS,2011,False,Left hand Bat,Right arm Medium fast,KTK
Padmanabhan Prasanth,ALLROUNDERS,2011,False,Left hand Bat,Slow Left arm Orthodox,KTK
Balachandra Akhil,BOWLERS,2011,False,Right hand Bat,Right arm Medium fast,KTK
Muthiah Muralidaran,BOWLERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
Ramesh Powar,BOWLERS,2011,False,Right hand Bat,Right arm Offbreak,KTK
RP Singh,BOWLERS,2011,False,Right hand Bat,Left arm Fast medium,KTK
Sreesanth,BOWLERS,2011,False,Right hand Bat,Right arm Fast medium,KTK
Vinay Kumar,BOWLERS,2011,False,Right hand Bat,Right arm Medium,KTK
Prasanth Parameswaran,BOWLERS,2011,False,Right hand Bat,Left arm Medium,KTK
