,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Sachin Tendulkar,BATTERS,"2008,2009,2010",False,Right hand Bat,"Right arm Offbreak, Legbreak Googly",MI
Loots Bosman,BATTERS,2008,False,Right hand Bat,Right arm Medium,MI
Ankeet Chavan,BATTERS,2008,False,Left hand Bat,Slow Left arm Orthodox,MI
Siddharth Chitnis,BATTERS,2008,False,Right hand Bat,Right arm Offbreak,MI
Manish Pandey,BATTERS,2008,False,Right hand Bat,Right arm Medium,MI
Ashwell Prince,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,MI
Ajinkya Rahane,BATTERS,"2008,2009",False,Right hand Bat,Right arm Medium,MI
Luke Ronchi,BATTERS,"2008,2009",True,Right hand Bat,,MI
Pinal Shah,BATTERS,"2008,2009",True,Right hand Bat,,MI
Dominic Thornely,BATTERS,2008,False,Right hand Bat,"Right arm Medium, Right arm Offbreak",MI
Saurabh Tiwary,BATTERS,"2008,2009,2010",False,Left hand Bat,,MI
Robin Uthappa,BATTERS,2008,False,Right hand Bat,Right arm Medium,MI
Dwayne Bravo,ALLROUNDERS,2008,False,Right hand Bat,Right arm Medium,MI
Gaurav Dhiman,ALLROUNDERS,2008,False,Right hand Bat,Right arm Fast medium,MI
Sanath Jayasuriya,ALLROUNDERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,MI
Abhishek Nayar,ALLROUNDERS,"2008,2009,2010",False,Left hand Bat,Right arm Medium,MI
Shaun Pollock,ALLROUNDERS,2008,False,Right hand Bat,Right arm Fast medium,MI
Dwayne Smith,ALLROUNDERS,2008,False,Right hand Bat,Right arm Medium,MI
Dilhara Fernando,BOWLERS,"2008,2010",False,Right hand Bat,Right arm Fast medium,MI
Harbhajan Singh,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,MI
Dhawal Kulkarni,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,MI
Ashish Nehra,BOWLERS,2008,False,Right hand Bat,Left arm Medium fast,MI
Andre Nel,BOWLERS,2008,False,Right hand Bat,Right arm Fast medium,MI
Rajesh Pawar,BOWLERS,2008,False,Left hand Bat,Slow Left arm Orthodox,MI
Swapnil Singh,BOWLERS,2008,False,Right hand Bat,Slow Left arm Orthodox,MI
Musavir Khote,BOWLERS,2008,False,Right hand Bat,Right arm Medium,MI
Rohan Raje,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,MI
Yogesh Takawale,BOWLERS,"2008,2009",False,Right hand Bat,,MI
Vikrant Yeligati,BOWLERS,2008,False,Right hand Bat,Right arm Offbreak,MI
Shikhar Dhawan,BATTERS,"2009,2010",False,Left hand Bat,Right arm Offbreak,MI
Mohammad Ashraful,BATTERS,2009,False,Right hand Bat,"Right arm Offbreak, Legbreak",MI
Jaydev Shah,BATTERS,2009,False,Left hand Bat,Right arm Offbreak,MI
"Dwayne Bravo player page headshot cutout, 2021",BATTERS,"2009,2010",False,Right hand Bat,Right arm Medium,MI
Jean-Paul Duminy,BATTERS,"2009,2010",False,Left hand Bat,Right arm Offbreak,MI
Ryan McLaren,BATTERS,"2009,2010",False,Left hand Bat,Right arm Medium fast,MI
"Dilhara Fernando player page headshot cutout, 2021",BATTERS,2009,False,,,MI
Bowler,BATTERS,2009,False,Right hand Bat,Right arm Fast medium,MI
Zaheer Khan,BATTERS,"2009,2010",False,Right hand Bat,Left arm Fast medium,MI
Lasith Malinga,BATTERS,"2009,2010",False,Right hand Bat,Right arm Fast,MI
Kyle Mills,BATTERS,2009,False,Right hand Bat,Right arm Fast medium,MI
Chetanya Nanda,BATTERS,2009,False,Right hand Bat,Legbreak,MI
Rahil Shaikh,BATTERS,2009,False,Left hand Bat,Left arm Medium,MI
Chandan Madan,BATTERS,2010,False,,,MI
Wicketkeeper,BATTERS,"2010,2010",False,Right hand Bat,,MI
Ambati Rayudu,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,MI
Aditya Tare,BATTERS,2010,False,,,MI
Graham Napier,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Kieron Pollard,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Rajagopal Sathish,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Abu Nechim,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
Ishan Malhotra,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
Ali Murtaza,BOWLERS,2010,False,Left hand Bat,Slow Left arm Orthodox,MI
Rahul Shukla,BOWLERS,2010,False,Right hand Bat,Right arm Medium,MI
Syed Shahabuddin,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
