,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Josh Inglis,BATTERS,2025,True,Right hand Bat,,PBKS
Shreyas Iyer,BATTERS,2025,False,Right hand Bat,"Right arm Offbreak, Legbreak Googly",PBKS
Prabhsimran Singh,BATTERS,"2025,2024,2023,2022,2021,2020,2019",True,Right hand Bat,,PBKS
Vishnu Vinod,BATTERS,2025,True,Right hand Bat,,PBKS
Nehal Wadhera,BATTERS,2025,False,Left hand Bat,Legbreak,PBKS
Azmatullah Omarzai,ALLROUNDERS,2025,False,Right hand Bat,Right arm Medium fast,PBKS
Aaron Hardie,ALLROUNDERS,2025,False,Right hand Bat,Right arm Medium fast,PBKS
Marco Jansen,ALLROUNDERS,2025,False,Right hand Bat,Left arm Medium fast,PBKS
Musheer Khan,ALLROUNDERS,2025,False,Right hand Bat,Slow Left arm Orthodox,PBKS
Shashank Singh,ALLROUNDERS,"2025,2024",False,Right hand Bat,"Right arm Medium, Right arm Offbreak",PBKS
Suryansh Shedge,ALLROUNDERS,2025,False,Right hand Bat,,PBKS
"Arshdeep Singh, player portrait",ALLROUNDERS,2025,False,,,PBKS
Bowler,ALLROUNDERS,2025,False,Left hand Bat,Left arm Medium fast,PBKS
Xavier Bartlett,ALLROUNDERS,2025,False,Right hand Bat,Right arm Fast medium,PBKS
Yuzvendra Chahal,ALLROUNDERS,2025,False,Right hand Bat,Legbreak Googly,PBKS
Praveen Dubey,ALLROUNDERS,2025,False,Right hand Bat,Legbreak Googly,PBKS
Lockie Ferguson,ALLROUNDERS,2025,False,Right hand Bat,Right arm Fast,PBKS
Harpreet Brar,ALLROUNDERS,"2025,2024,2023,2022,2021,2020,2019",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Kuldeep Sen,ALLROUNDERS,2025,False,Right hand Bat,Right arm Fast,PBKS
Vijaykumar Vyshak,ALLROUNDERS,2025,False,Right hand Bat,Right arm Medium,PBKS
Yash Thakur,ALLROUNDERS,2025,False,Right hand Bat,Right arm Fast medium,PBKS
Priyansh Arya,ALLROUNDERS,2025,False,Left hand Bat,Right arm Offbreak,PBKS
Pyla Avinash,ALLROUNDERS,2025,False,Right hand Bat,Right arm Medium fast,PBKS
Harnoor Singh,ALLROUNDERS,2025,False,Left hand Bat,Legbreak,PBKS
Shikhar Dhawan,BATTERS,"2024,2023,2022",False,Left hand Bat,Right arm Offbreak,PBKS
Harpreet Singh,BATTERS,2024,False,Left hand Bat,Right arm Medium,PBKS
Rilee Rossouw,BATTERS,2024,False,Left hand Bat,Right arm Offbreak,PBKS
Jitesh Sharma,BATTERS,"2024,2023,2022",True,Right hand Bat,,PBKS
Jonny Bairstow,BATTERS,"2024,2023,2022",True,Right hand Bat,Right arm Medium,PBKS
Withdrawn,BATTERS,"2024,2023",False,Right hand Bat,Right arm Medium,PBKS
Rishi Dhawan,ALLROUNDERS,"2024,2023,2022,2016,2015,2014,2008",False,Right hand Bat,Right arm Medium fast,PBKS
Ashutosh Sharma,ALLROUNDERS,2024,False,Right hand Bat,,PBKS
Shivam Singh,ALLROUNDERS,2024,False,Right hand Bat,Right arm Offbreak,PBKS
Sikandar Raza,ALLROUNDERS,"2024,2023",False,Right hand Bat,"Right arm Offbreak, Legbreak",PBKS
Atharva Taide,ALLROUNDERS,"2024,2023,2022",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Arshdeep Singh,BOWLERS,"2024,2023,2022,2021,2020,2019",False,Left hand Bat,Left arm Medium fast,PBKS
Rahul Chahar,BOWLERS,"2024,2023,2022",False,Right hand Bat,Legbreak Googly,PBKS
Nathan Ellis,BOWLERS,"2024,2023,2022,2021",False,Right hand Bat,Right arm Fast medium,PBKS
Vidwath Kaverappa,BOWLERS,"2024,2023",False,Right hand Bat,Right arm Fast medium,PBKS
Harshal Patel,BOWLERS,2024,False,Right hand Bat,Right arm Medium,PBKS
Tanay Thyagarajan,BOWLERS,2024,False,Left hand Bat,Slow Left arm Orthodox,PBKS
Kagiso Rabada,BOWLERS,"2024,2023,2022",False,Left hand Bat,Right arm Fast,PBKS
"Prince Choudhary, player page headshot cutout, 2024",BOWLERS,2024,False,Right hand Bat,Legbreak,PBKS
Vishwanath Singh,BOWLERS,2024,False,Right hand Bat,Right arm Offbreak,PBKS
Chris Hurley,BATTERS,2023,False,,,PBKS
"Harpreet Singh, player page headshot cutout, 2024",BATTERS,2023,False,Left hand Bat,Right arm Medium,PBKS
Bhanuka Rajapaksa,BATTERS,"2023,2022",False,Left hand Bat,Right arm Medium,PBKS
M Shahrukh Khan,BATTERS,"2023,2022,2021",False,Right hand Bat,Right arm Offbreak,PBKS
Matthew Short,BATTERS,2023,False,Right hand Bat,Right arm Offbreak,PBKS
Sam Curran,ALLROUNDERS,"2023,2019",False,Left hand Bat,Left arm Medium fast,PBKS
Liam Livingstone,ALLROUNDERS,"2023,2022",False,Right hand Bat,"Right arm Offbreak, Legbreak",PBKS
Mohit Rathee,ALLROUNDERS,2023,False,Right hand Bat,Legbreak,PBKS
Baltej Singh,BOWLERS,"2023,2022",False,Right hand Bat,Right arm Medium,PBKS
Gurnoor Brar,BOWLERS,2023,False,Left hand Bat,Right arm Fast,PBKS
Mayank Agarawal,BATTERS,"2022,2021,2020,2019,2018",False,Right hand Bat,Right arm Offbreak,PBKS
"Raj Bawa, player page headshot cutout 2022",BATTERS,2022,False,Left hand Bat,Right arm Medium fast,PBKS
Writtick Chatterjee,BATTERS,2022,False,Right hand Bat,Right arm Offbreak,PBKS
Benny Howell,BATTERS,2022,False,Right hand Bat,Right arm Medium,PBKS
Prerak Mankad,BATTERS,2022,False,Right hand Bat,Right arm Medium,PBKS
Odean Smith,BATTERS,2022,False,Right hand Bat,Right arm Fast medium,PBKS
Vaibhav Arora,BOWLERS,2022,False,Right hand Bat,Right arm Fast medium,PBKS
Ansh Patel,BOWLERS,2022,False,Right hand Bat,Left arm Wrist spin,PBKS
Ishan Porel,BOWLERS,"2022,2021,2020",False,Right hand Bat,Right arm Medium,PBKS
Sandeep Sharma,BOWLERS,"2022,2017,2016,2015,2014,2013",False,Right hand Bat,Right arm Medium,PBKS
KL Rahul,BATTERS,"2021,2020,2019,2018",True,Right hand Bat,,PBKS
