,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Yuvraj Singh,BATTERS,2011,False,Left hand Bat,Slow Left arm Orthodox,PWI
Sourav Ganguly,BATTERS,2011,False,Left hand Bat,Right arm Medium,PWI
Eklavya Dwivedi,BATTERS,2011,False,,,PWI
Wicketkeeper,BATTERS,2011,False,Right hand Bat,,PWI
Callum Ferguson,BATTERS,2011,False,Right hand Bat,Right arm Medium,PWI
Harpreet Singh,BATTERS,2011,False,Left hand Bat,Right arm Medium,PWI
Dheeraj Jadhav,BATTERS,2011,False,Left hand Bat,Right arm Offbreak,PWI
Abhishek Jhunjhunwala,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,PWI
Harshad Khadiwale,BATTERS,2011,False,Right hand Bat,Right arm Medium fast,PWI
Mohnish Mishra,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,PWI
Tim Paine,BATTERS,2011,True,Right hand Bat,Right arm Medium,PWI
Manish Pandey,BATTERS,2011,False,Right hand Bat,Right arm Medium,PWI
Graeme Smith,BATTERS,2011,False,Left hand Bat,Right arm Offbreak,PWI
Robin Uthappa,BATTERS,2011,False,Right hand Bat,Right arm Medium,PWI
James Faulkner,ALLROUNDERS,2011,False,Right hand Bat,Left arm Fast medium,PWI
Mithun Manhas,ALLROUNDERS,2011,False,Right hand Bat,Right arm Offbreak,PWI
Mitchell Marsh,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium,PWI
Shrikant Mundhe,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium,PWI
Jesse Ryder,ALLROUNDERS,2011,False,Left hand Bat,Right arm Medium,PWI
Shrikant Wagh,ALLROUNDERS,2011,False,Left hand Bat,Left arm Medium fast,PWI
Ganesh Gaikwad,BOWLERS,2011,False,Right hand Bat,Right arm Offbreak,PWI
Imtiaz Ahmed,BOWLERS,2011,False,Right hand Bat,Right arm Medium,PWI
Kamran Khan,BOWLERS,2011,False,Left hand Bat,Left arm Medium fast,PWI
Murali Kartik,BOWLERS,2011,False,Left hand Bat,Slow Left arm Orthodox,PWI
Bhuvneshwar Kumar,BOWLERS,2011,False,Right hand Bat,Right arm Medium,PWI
Nathan McCullum,BOWLERS,2011,False,Right hand Bat,Right arm Offbreak,PWI
Ashish Nehra,BOWLERS,2011,False,Right hand Bat,Left arm Medium fast,PWI
Wayne Parnell,BOWLERS,2011,False,Left hand Bat,Left arm Medium fast,PWI
Sachin Rana,BOWLERS,2011,False,Right hand Bat,Right arm Medium fast,PWI
Rahul Sharma,BOWLERS,2011,False,Right hand Bat,Legbreak Googly,PWI
Jerome Taylor,BOWLERS,2011,False,Right hand Bat,Right arm Fast,PWI
Alfonso Thomas,BOWLERS,2011,False,Right hand Bat,Right arm Fast medium,PWI
