,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Mayank Agarawal,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,RCB
Arun Karthik,BATTERS,2011,True,Right hand Bat,Legbreak Googly,RCB
AB de Villiers,BATTERS,2011,True,Right hand Bat,Right arm Medium,RCB
Chidhambaram Gautam,BATTERS,"2011,2009",True,Right hand Bat,,RCB
Wicketkeeper,BATTERS,2011,False,Right hand Bat,,RCB
Mohammad Kaif,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,RCB
Virat Kohli,BATTERS,"2011,2010,2009,2008",False,Right hand Bat,Right arm Medium,RCB
Luke Pomersbach,BATTERS,2011,False,Left hand Bat,Right arm Offbreak,RCB
Cheteshwar Pujara,BATTERS,2011,False,Right hand Bat,Legbreak,RCB
Rilee Rossouw,BATTERS,2011,False,Left hand Bat,Right arm Offbreak,RCB
Saurabh Tiwary,BATTERS,2011,False,Left hand Bat,,RCB
Jonathan Vandiar,BATTERS,2011,False,Left hand Bat,Legbreak,RCB
Daniel Vettori,ALLROUNDERS,2011,False,Left hand Bat,Slow Left arm Orthodox,RCB
BN Bharath,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium,RCB
Raju Bhatkal,ALLROUNDERS,"2011,2009",False,Right hand Bat,Right arm Medium,RCB
Tillakaratne Dilshan,ALLROUNDERS,2011,False,Right hand Bat,Right arm Offbreak,RCB
Chris Gayle,ALLROUNDERS,2011,False,Left hand Bat,Right arm Offbreak,RCB
Ryan Ninan,ALLROUNDERS,2011,False,Right hand Bat,Right arm Offbreak,RCB
Johan van der Wath,ALLROUNDERS,2011,False,Right hand Bat,Right arm Medium fast,RCB
Sreenath Aravind,BOWLERS,"2011,2009",False,Left hand Bat,Left arm Medium fast,RCB
Nuwan Pradeep,BOWLERS,2011,False,Right hand Bat,Right arm Fast medium,RCB
Abrar Kazi,BOWLERS,2011,False,Left hand Bat,Slow Left arm Orthodox,RCB
Zaheer Khan,BOWLERS,"2011,2008",False,Right hand Bat,Left arm Fast medium,RCB
Charl Langeveldt,BOWLERS,2011,False,Right hand Bat,Right arm Fast medium,RCB
Abhimanyu Mithun,BOWLERS,"2011,2010,2009",False,Right hand Bat,Right arm Medium,RCB
Dirk Nannes,BOWLERS,2011,False,Right hand Bat,Left arm Fast,RCB
Asad Pathan,BOWLERS,2011,False,Right hand Bat,Right arm Medium,RCB
Jamaluddin Syed Mohammad,BOWLERS,2011,False,Left hand Bat,Slow Left arm Orthodox,RCB
Mark Boucher,BATTERS,"2010,2009,2008",True,Right hand Bat,Right arm Medium,RCB
Rahul Dravid,BATTERS,"2010,2009,2008",False,Right hand Bat,Right arm Offbreak,RCB
Shreevats Goswami,BATTERS,"2010,2009,2008",True,Left hand Bat,,RCB
Eoin Morgan,BATTERS,2010,False,Left hand Bat,Right arm Medium,RCB
Manish Pandey,BATTERS,"2010,2009",False,Right hand Bat,Right arm Medium,RCB
Steven Smith,BATTERS,2010,False,Right hand Bat,Legbreak Googly,RCB
Sridharan Sriram,BATTERS,2010,False,Left hand Bat,Slow Left arm Orthodox,RCB
Ross Taylor,BATTERS,"2010,2009,2008",False,Right hand Bat,Right arm Offbreak,RCB
