,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Mayank Agarawal,BATTERS,"2017,2017",False,Right hand Bat,Right arm Offbreak,RPSG
Ankush Bains,BATTERS,"2017,2017,2016",True,Right hand Bat,,RPSG
MS Dhoni,BATTERS,"2017,2017,2016",True,Right hand Bat,Right arm Medium,RPSG
Usman Khawaja,BATTERS,"2017,2017,2016",False,Left hand Bat,Right arm Medium,RPSG
Ajinkya Rahane,BATTERS,"2017,2017,2016",False,Right hand Bat,Right arm Medium,RPSG
Manoj Tiwary,BATTERS,"2017,2017",False,Right hand Bat,Legbreak Googly,RPSG
Rahul Tripathi,BATTERS,"2017,2017",False,Right hand Bat,Right arm Medium,RPSG
Baba Aparajith,ALLROUNDERS,"2017,2017,2016",False,Right hand Bat,Right arm Offbreak,RPSG
Rajat Bhatia,ALLROUNDERS,"2017,2017,2016",False,Right hand Bat,Right arm Medium fast,RPSG
Dan Christian,ALLROUNDERS,"2017,2017",False,Right hand Bat,Right arm Fast medium,RPSG
Saurabh Kumar,ALLROUNDERS,"2017,2017",False,Left hand Bat,Slow Left arm Orthodox,RPSG
Ben Stokes,ALLROUNDERS,"2017,2017",False,Left hand Bat,Right arm Fast medium,RPSG
Washington Sundar,ALLROUNDERS,"2017,2017",False,Left hand Bat,Right arm Offbreak,RPSG
Ankit Sharma,BOWLERS,"2017,2017,2016",False,Left hand Bat,Slow Left arm Orthodox,RPSG
Rahul Chahar,BOWLERS,"2017,2017",False,Right hand Bat,Legbreak Googly,RPSG
Deepak Chahar,BOWLERS,"2017,2017,2016",False,Right hand Bat,Right arm Medium,RPSG
Ashok Dinda,BOWLERS,"2017,2017,2016",False,Right hand Bat,Right arm Medium fast,RPSG
Lockie Ferguson,BOWLERS,"2017,2017",False,Right hand Bat,Right arm Fast,RPSG
Imran Tahir,BOWLERS,"2017,2017",False,Right hand Bat,Legbreak Googly,RPSG
Jaskaran Singh,BOWLERS,"2017,2017,2016",False,Left hand Bat,Left arm Medium,RPSG
Ishwar Pandey,BOWLERS,"2017,2017,2016",False,Right hand Bat,Right arm Medium,RPSG
Shardul Thakur,BOWLERS,"2017,2017",False,Right hand Bat,Right arm Medium,RPSG
Jaydev Unadkat,BOWLERS,"2017,2017",False,Right hand Bat,Left arm Medium,RPSG
Adam Zampa,BOWLERS,"2017,2017,2016",False,Right hand Bat,Legbreak Googly,RPSG
Milind Tandon,BOWLERS,"2017,2017",False,Right hand Bat,Medium,RPSG
"Steven Smith, player page headshot cutout, 2024",BOWLERS,2017,False,,,RPSG
(c),BOWLERS,2017,False,Right hand Bat,Legbreak Googly,RPSG
George Bailey,BATTERS,2016,False,Right hand Bat,Right arm Medium,RPSG
Peter Handscomb,BATTERS,2016,False,Right hand Bat,,RPSG
Saurabh Tiwary,BATTERS,2016,False,Left hand Bat,,RPSG
Ravichandran Ashwin,ALLROUNDERS,2016,False,Right hand Bat,Right arm Offbreak,RPSG
Albie Morkel,ALLROUNDERS,2016,False,Left hand Bat,Right arm Medium fast,RPSG
Irfan Pathan,ALLROUNDERS,2016,False,Left hand Bat,Left arm Medium fast,RPSG
Thisara Perera,ALLROUNDERS,2016,False,Left hand Bat,Right arm Medium fast,RPSG
Murugan Ashwin,BOWLERS,2016,False,Right hand Bat,Legbreak Googly,RPSG
Scott Boland,BOWLERS,2016,False,Right hand Bat,Right arm Fast medium,RPSG
Ishant Sharma,BOWLERS,2016,False,Right hand Bat,Right arm Fast medium,RPSG
RP Singh,BOWLERS,2016,False,Right hand Bat,Left arm Fast medium,RPSG
