,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Sanju Samson,BATTERS,"2025,2024,2023,2022,2021,2020,2019,2018,2015,2014,2013",True,Right hand Bat,,RR
Shubham Dubey,BATTERS,"2025,2024",False,Left hand Bat,Right arm Offbreak,RR
Shimron Hetmyer,BATTERS,"2025,2024,2023,2022",False,Left hand Bat,,RR
Yashasvi Jaiswal,BATTERS,"2025,2024,2023,2022,2021,2020",False,Left hand Bat,Legbreak,RR
Dhruv Jurel,BATTERS,"2025,2024,2023,2022",True,Right hand Bat,,RR
Riyan Parag,BATTERS,"2025,2024,2023,2022,2021,2020,2019",False,Right hand Bat,"Right arm Offbreak, Legbreak",RR
Nitish Rana,BATTERS,2025,False,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",RR
Kunal Singh Rathore,BATTERS,"2025,2024,2023",True,Left hand Bat,,RR
Vaibhav Suryavanshi,BATTERS,2025,False,Left hand Bat,Slow Left arm Orthodox,RR
Wanindu Hasaranga,ALLROUNDERS,2025,False,Right hand Bat,Legbreak,RR
Ashok Sharma,BOWLERS,2025,False,Right hand Bat,Right arm Medium,RR
Tushar Deshpande,BOWLERS,2025,False,Left hand Bat,Right arm Medium,RR
Fazalhaq Farooqi,BOWLERS,2025,False,Right hand Bat,Left arm Fast medium,RR
Kumar Kartikeya,BOWLERS,2025,False,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",RR
Akash Madhwal,BOWLERS,2025,False,Right hand Bat,Right arm Medium fast,RR
Kwena Maphaka,BOWLERS,2025,False,Left hand Bat,Left arm Fast,RR
Sandeep Sharma,BOWLERS,"2025,2024,2023",False,Right hand Bat,Right arm Medium,RR
Maheesh Theekshana,BOWLERS,2025,False,Right hand Bat,Right arm Offbreak,RR
Yudhvir Singh,BOWLERS,2025,False,Right hand Bat,Right arm Medium fast,RR
Jos Buttler,BATTERS,"2024,2023,2022,2021,2020,2019,2018",True,Right hand Bat,,RR
Tom Kohler-Cadmore,BATTERS,2024,True,Right hand Bat,Right arm Offbreak,RR
Rovman Powell,BATTERS,2024,False,Right hand Bat,Right arm Medium fast,RR
Abid Mushtaq,BATTERS,2024,False,Left hand Bat,Slow Left arm Orthodox,RR
Ravichandran Ashwin,BATTERS,"2024,2023,2022",False,Right hand Bat,Right arm Offbreak,RR
Donovan Ferreira,BATTERS,"2024,2023",False,Right hand Bat,Right arm Offbreak,RR
Tanush Kotian,BATTERS,2024,False,Right hand Bat,Right arm Offbreak,RR
Avesh Khan,BOWLERS,2024,False,Right hand Bat,Right arm Fast medium,RR
Trent Boult,BOWLERS,"2024,2023,2022",False,Right hand Bat,Left arm Fast medium,RR
Nandre Burger,BOWLERS,2024,False,Left hand Bat,Left arm Fast medium,RR
Yuzvendra Chahal,BOWLERS,"2024,2023,2022",False,Right hand Bat,Legbreak Googly,RR
Keshav Maharaj,BOWLERS,2024,False,Right hand Bat,Slow Left arm Orthodox,RR
Navdeep Saini,BOWLERS,"2024,2023,2022",False,Right hand Bat,Right arm Fast,RR
Kuldeep Sen,BOWLERS,"2024,2023,2022",False,Right hand Bat,Right arm Fast,RR
Devdutt Padikkal,BATTERS,"2023,2022",False,Left hand Bat,Right arm Offbreak,RR
Joe Root,BATTERS,2023,False,Right hand Bat,Right arm Offbreak,RR
Abdul Basith,ALLROUNDERS,2023,False,Right hand Bat,Right arm Offbreak,RR
Jason Holder,ALLROUNDERS,2023,False,Right hand Bat,Right arm Medium fast,RR
Akash Vasisht,ALLROUNDERS,2023,False,Left hand Bat,Slow Left arm Orthodox,RR
Murugan Ashwin,BOWLERS,2023,False,Right hand Bat,Legbreak Googly,RR
KM Asif,BOWLERS,2023,False,Right hand Bat,Right arm Medium,RR
KC Cariappa,BOWLERS,"2023,2022,2021",False,Right hand Bat,Legbreak,RR
Obed McCoy,BOWLERS,"2023,2022",False,Left hand Bat,Left arm Fast medium,RR
Kuldip Yadav,BOWLERS,"2023,2022,2021",False,Left hand Bat,Left arm Fast medium,RR
Adam Zampa,BOWLERS,2023,False,Right hand Bat,Legbreak Googly,RR
Shubham Garhwal,BATTERS,2022,False,Left hand Bat,Slow Left arm Orthodox,RR
Karun Nair,BATTERS,"2022,2015,2014",False,Right hand Bat,Right arm Offbreak,RR
Rassie van der Dussen,BATTERS,2022,False,Right hand Bat,Legbreak,RR
Corbin Bosch,ALLROUNDERS,2022,False,Right hand Bat,Right arm Fast medium,RR
Daryl Mitchell,ALLROUNDERS,2022,False,Right hand Bat,Right arm Medium,RR
James Neesham,ALLROUNDERS,2022,False,Left hand Bat,Right arm Medium fast,RR
Anunay Singh,BOWLERS,2022,False,Right hand Bat,,RR
Prasidh Krishna,BOWLERS,2022,False,Right hand Bat,Right arm Fast medium,RR
Tejas Baroka,BOWLERS,2022,False,Right hand Bat,Legbreak Googly,RR
Anuj Rawat,BATTERS,"2021,2020",True,Left hand Bat,,RR
Evin Lewis,BATTERS,2021,False,Left hand Bat,,RR
David Miller,BATTERS,"2021,2020",False,Left hand Bat,Right arm Offbreak,RR
Manan Vohra,BATTERS,"2021,2020,2019",False,Right hand Bat,Right arm Medium,RR
Withdrawn,BATTERS,2021,False,Right hand Bat,,RR
ALLROUNDERS,BATTERS,2021,False,,,RR
Shivam Dube,BATTERS,2021,False,Left hand Bat,Right arm Medium,RR
Shreyas Gopal,BATTERS,"2021,2020,2019,2018",False,Right hand Bat,Legbreak,RR
Liam Livingstone,BATTERS,"2021,2019",False,Right hand Bat,"Right arm Offbreak, Legbreak",RR
Mahipal Lomror,BATTERS,"2021,2020,2019,2018",False,Left hand Bat,Slow Left arm Orthodox,RR
Chris Morris,BATTERS,"2021,2015",False,Right hand Bat,Right arm Fast medium,RR
Glenn Phillips,BATTERS,2021,False,Right hand Bat,Right arm Offbreak,RR
Rahul Tewatia,BATTERS,"2021,2020,2015,2014",False,Left hand Bat,Legbreak,RR
BOWLERS,BATTERS,2021,False,,,RR
Akash Singh,BATTERS,"2021,2020",False,Right hand Bat,Left arm Medium fast,RR
Kartik Tyagi,BATTERS,"2021,2020",False,Right hand Bat,Right arm Fast,RR
