,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Travis Head,BATTERS,"2025,2024",False,Left hand Bat,Right arm Offbreak,SRH
Ishan Kishan,BATTERS,2025,True,Left hand Bat,Legbreak,SRH
Heinrich Klaasen,BATTERS,"2025,2024,2023",True,Right hand Bat,Right arm Offbreak,SRH
Sachin Baby,BATTERS,"2025,2018",False,Left hand Bat,Right arm Offbreak,SRH
Abhishek Sharma,ALLROUNDERS,"2025,2024,2023,2022,2021,2020,2019",False,Left hand Bat,Slow Left arm Orthodox,SRH
Brydon Carse,ALLROUNDERS,2025,False,Right hand Bat,Right arm Fast,SRH
Abhinav Manohar,ALLROUNDERS,2025,False,Right hand Bat,Legbreak Googly,SRH
Kamindu Mendis,ALLROUNDERS,2025,False,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",SRH
Nitish Kumar Reddy,ALLROUNDERS,"2025,2024,2023",False,Right hand Bat,Right arm Medium fast,SRH
Atharva Taide,ALLROUNDERS,2025,False,Left hand Bat,Slow Left arm Orthodox,SRH
Rahul Chahar,BOWLERS,2025,False,Right hand Bat,Legbreak Googly,SRH
Pat Cummins,BOWLERS,"2025,2024",False,Right hand Bat,Right arm Fast,SRH
Eshan Malinga,BOWLERS,2025,False,Left hand Bat,Right arm Fast medium,SRH
Mohammed Shami,BOWLERS,2025,False,Right hand Bat,Right arm Fast,SRH
Harshal Patel,BOWLERS,2025,False,Right hand Bat,Right arm Medium,SRH
Simarjeet Singh,BOWLERS,2025,False,Right hand Bat,Right arm Medium fast,SRH
Jaydev Unadkat,BOWLERS,"2025,2024",False,Right hand Bat,Left arm Medium,SRH
Adam Zampa,BOWLERS,2025,False,Right hand Bat,Legbreak Googly,SRH
Aniket Verma,BOWLERS,2025,False,Right hand Bat,Right arm Medium fast,SRH
Zeeshan Ansari,BOWLERS,2025,False,Right hand Bat,Legbreak Googly,SRH
Abdul Samad,BATTERS,"2024,2023,2022,2020",False,Right hand Bat,Legbreak,SRH
Mayank Agarawal,BATTERS,"2024,2023",False,Right hand Bat,Right arm Offbreak,SRH
Anmolpreet Singh,BATTERS,"2024,2023",False,Right hand Bat,Right arm Offbreak,SRH
Aiden Markram,BATTERS,"2024,2023,2022",False,Right hand Bat,Right arm Offbreak,SRH
Rahul Tripathi,BATTERS,"2024,2023,2022",False,Right hand Bat,Right arm Medium,SRH
Upendra Yadav,BATTERS,"2024,2023",True,Right hand Bat,Right arm Offbreak,SRH
Marco Jansen,ALLROUNDERS,"2024,2023,2022",False,Right hand Bat,Left arm Medium fast,SRH
Glenn Phillips,ALLROUNDERS,"2024,2023,2022",False,Right hand Bat,Right arm Offbreak,SRH
Sanvir Singh,ALLROUNDERS,"2024,2023",False,Right hand Bat,Right arm Medium,SRH
Shahbaz Ahmed,ALLROUNDERS,2024,False,Left hand Bat,Slow Left arm Orthodox,SRH
